ObjectPad,Threads,Scenario,Allocator,Ops,Time(s),Throughput(op/s),Mem(MB),p50_us,p99_us
32,1,SameThread,make_shared,500000,0.0380916,1.31263e+07,18.7031,0.1,0.2
32,1,SameThread,allocate_shared(PoolAlloc),500000,0.0246758,2.02628e+07,19.1953,0,0.1
32,2,CrossThread,make_shared,500000,0.0766858,6.52011e+06,20.3047,0,0
32,2,CrossThread,allocate_shared(PoolAlloc),500000,0.0497905,1.00421e+07,55.3516,0,0
32,2,CrossThread,make_shared,500000,2.58671,193296,68.3633,0,0
32,2,CrossThread,allocate_shared(PoolAlloc),500000,2.56734,194754,96.5547,0,0
32,2,CrossThread,make_shared,500000,25.3129,19752.8,98.4414,0,0
32,2,CrossThread,allocate_shared(PoolAlloc),500000,25.3292,19740.1,101.941,0,0
32,2,SameThread,make_shared,1000000,0.0691443,1.44625e+07,84.25,0.1,0.3
32,2,SameThread,allocate_shared(PoolAlloc),1000000,0.0623888,1.60285e+07,85.0664,0.1,0.1
32,2,CrossThread,make_shared,500000,0.0741842,6.73998e+06,85.6211,0,0
32,2,CrossThread,allocate_shared(PoolAlloc),500000,0.0496692,1.00666e+07,100.77,0,0
32,2,CrossThread,make_shared,500000,2.59196,192904,110.465,0,0
32,2,CrossThread,allocate_shared(PoolAlloc),500000,2.58176,193667,110.816,0,0
32,2,CrossThread,make_shared,500000,25.3607,19715.6,114.574,0,0
32,2,CrossThread,allocate_shared(PoolAlloc),500000,25.3178,19749,115.469,0,0
32,4,SameThread,make_shared,2000000,0.121844,1.64145e+07,99.9727,0.2,0.4
32,4,SameThread,allocate_shared(PoolAlloc),2000000,0.116518,1.71648e+07,101.605,0.1,0.3
32,4,CrossThread,make_shared,1000000,0.224021,4.46387e+06,101.973,0,0
32,4,CrossThread,allocate_shared(PoolAlloc),1000000,0.146259,6.8372e+06,119.77,0,0
32,4,CrossThread,make_shared,1000000,2.65125,377181,145.082,0,0
32,4,CrossThread,allocate_shared(PoolAlloc),1000000,2.63309,379782,199.348,0,0
32,4,CrossThread,make_shared,1000000,25.3689,39418.4,207.875,0,0
32,4,CrossThread,allocate_shared(PoolAlloc),1000000,25.3585,39434.5,211.094,0,0
32,8,SameThread,make_shared,4000000,0.244237,1.63775e+07,179.578,0.2,0.9
32,8,SameThread,allocate_shared(PoolAlloc),4000000,0.229251,1.74481e+07,182.766,0.2,0.8
32,8,CrossThread,make_shared,2000000,0.618068,3.23589e+06,188.305,0,0
32,8,CrossThread,allocate_shared(PoolAlloc),2000000,0.577672,3.46217e+06,203.461,0,0
32,8,CrossThread,make_shared,2000000,2.72855,732989,262.781,0,0
